Restaurant,Review,Label,Stars,Date
Luke's Oyster Bar & Chop House,Almost thought I was in a scene from Mad Men and I can just bump into Don Draper having an old fashion neat in the corner.,4,5,2017-05-21T00:00:00
Din Tai Fung,"If you do decide to stay, wait patiently and try get a seat in the much more pleasant dining area that is further inside and has more windows and open space.",4,2,2015-04-03T00:00:00
Boomarang,It's also perfect for watching sports games but probably need to book a table in advance.,4,5,2017-09-02T00:00:00
Jumbo Seafood,"So maybe Jumbo if you're on a ""budget""This location is on the water so if you're patient wait for outdoor seating.",4,5,2019-05-14T00:00:00
Talay Thai,Great place to sit back and enjoy a meal while soaking in the experience of Singapore.,4,5,2019-09-26T00:00:00
Sakurazaka,Step into Sakurazaka at the affluent Greenwood Estate and you would be forgiven for thinking that you are in a restaurant in Japan.,4,5,2016-04-07T00:00:00
Gajalee,In town for business and refuse to eat dinners in hotels unless captive.,5,4,2015-03-24T00:00:00
Burnt Ends,Then you have to scoot off somewhere to have a drink or kill time.,5,1,2015-04-07T00:00:00
Aromas Of India,Highly recommend.,5,5,2017-04-05T00:00:00
Din Tai Fung,Love my local Din Tai Fung in LosAngeles .... this place did not meet expectations.,5,3,2018-01-05T00:00:00
Hansang Korean Family,Have tried the buffet as well as the lunch sets.,5,3,2016-07-11T00:00:00
Ya Kun Kaya Toast,It was still early so it wasn't super busy when we arrived.,5,4,2019-07-12T00:00:00
Cove 99,Tell me if you agree this place deserves a star.,5,5,2016-01-20T00:00:00
Black Tap,Allergy alert: Worse place is you have food allergies!!!!,5,1,2018-10-05T00:00:00
Din Tai Fung,Tried the outlet at Paragon mall.,5,3,2018-07-15T00:00:00
FOC,Been to FOC twice.,5,5,2016-10-06T00:00:00
Liao Fan Hawker Chan,"After talking with a few locals, I was a bit reluctant to actually make the effort to check this place out.",5,5,2017-09-09T00:00:00
Decker Barbecue,And then heartbreak as the staff started to put Sold Out signs on the Brisket.,5,5,2015-11-15T00:00:00
Ponggol Nasi Lemak,Serious contender for the number 1 spot for Nasi Lemak.,5,5,2017-09-07T00:00:00
D'Good Cafe,"One of them sat down, looked at the cake display and exclaimed ""what?",5,5,2016-09-11T00:00:00
Opus Bar & Grill,"They say competition breeds excellence, and that's certainly true here.",5,5,2019-09-06T00:00:00
Warong Nasi Pariaman,"During that afternoon, The Ayam Bakar was somewhat NOT like how I could recall.",5,3,2018-11-25T00:00:00
Lola's Cafe,"Besides being the boss, Choo Kiat is the chef cum barista.",5,4,2013-07-20T00:00:00
Ramen Keisuke Tori King,Highly recommend giving this place a try.,5,5,2017-01-06T00:00:00
Druggists,"Best part, it's right next to a food court, so go get drunk and sober up for cheap!",5,5,2015-08-01T00:00:00
Cafe Melba,"Food selection was alright - since I'm vegetarian my selection was of course limited, but I had pizza and calzones to choose from so it was alright.",5,3,2012-09-29T00:00:00
Majestic Bay,We were visiting the flower dome and didn't feel like walking back to the Marina Bay Sands shopping center.,5,5,2014-12-13T00:00:00
Ki-sho,"I highly recommend you check out his upstairs sake bar, you'll go on a sake adventure with his insanely huge collection of all different types of sakes from all over Japan.",5,5,2016-06-15T00:00:00
Chui Huay Lim Teochew Cusine,The eggs were cut in perfect squares - loved the attention to detail.I finished off with dessert; yam paste.,5,4,2016-07-08T00:00:00
Mrs Pho,I also opted for a fresh spring roll appetizer.,5,5,2016-05-20T00:00:00
8 Korean BBQ,"During a recent trip to Singapore, I decided to revisit this place for some Korean BBQ.",5,3,2018-11-01T00:00:00
Pistachio,"I look forward to my next trip to Singapore, so I can eat here again.",5,5,2017-05-08T00:00:00
PrivÃƒÂ©,I love this place.,5,4,2019-01-20T00:00:00
My Little Tapas Bar,Perfect therapy after a bad day in the office!,5,4,2014-08-08T00:00:00
Chettinadu New,I chose the Masala Chicken.,5,5,2013-03-02T00:00:00
Sin Huat Seafood Restaurant,"On that day, I've heard stories (almost like tales and legends) about this place from my cousin who brought me there.",5,5,2013-08-05T00:00:00
Jumbo Seafood,I was in Singapore for vacation and was told Jumbo's was a must!,5,3,2014-07-08T00:00:00
Chatterbox,Hence the 4 stars.,5,4,2015-09-06T00:00:00
Joo Chiat Road,I don't even know why I didn't write this review earlier??!!,5,5,2016-06-12T00:00:00
Lian He Ben Ji Claypot Rice,We ended up here as the other claypot rice in the same hawker centre is closed.,5,3,2013-09-03T00:00:00
Blue Ginger,Next I want to try Peranaman and then off to Melaka for the graduation of peranakan cuisine!,5,4,2013-05-19T00:00:00
Luke's Oyster Bar & Chop House,Had the Tenderloin with asparagus.,5,5,2019-07-27T00:00:00
Luke's Oyster Bar & Chop House,I had it on the rocks and I loved it!,5,4,2014-09-26T00:00:00
Roland,My daughter enjoyed the light mango pudding with pomelo.,5,5,2018-06-20T00:00:00
Real Food,"First, because of the fact that it's healthy.",5,5,2014-10-12T00:00:00
Liao Fan Hawker Chan,Really glad we got a chance to eat here.,5,5,2019-09-17T00:00:00
Little Vietnam Restaurant & Cafe,We have been here a few times.,5,4,2016-06-03T00:00:00
Wee Nam Kee Chicken Rice,It is amazing.,5,4,2013-09-22T00:00:00
Luke's Oyster Bar & Chop House,"I visit with the aim for the Travis burger, available only on lunch menu.",5,5,2014-08-31T00:00:00
Maison Ikkoku Restaurant & Bar,Everything was wrong.,5,2,2018-02-14T00:00:00
Taste Paradise,It was my first time eating shark fin soup.,5,4,2018-11-28T00:00:00
Keisuke Tonkotsu King,"Oh, they held so much promise.",5,3,2016-04-30T00:00:00
Bakalaki Greek Taverna,We've been trying to eat here for a few months and finally went today for lunch.,5,4,2018-07-13T00:00:00
Pollen,I can't believe this is a Jason Atherton restaurant.,5,1,2013-11-08T00:00:00
Din Tai Fung,"Din Tai Fung makes a good, solid, dependable basic XLB and you should order like 20 as soon as you sit down.",5,4,2013-08-22T00:00:00
Jing Hua Xiao Chi,"On a hot day in Singapore, I decided to venture out into the world, barely avoiding heat stroke.",5,5,2018-07-06T00:00:00
Happy Chef Western Foods,I have chosen vegetables and fries.,5,4,2016-06-25T00:00:00
Chatterbox,Had already set low expectations for their Hainan rice but wanted to give it a second chance so ordered that for dinner.,5,4,2015-08-24T00:00:00
Muthu's Curry,Definitely get the mixed appetizer as well.,5,5,2016-03-17T00:00:00
Yakinikutei Ao-Chan,they're really good.,5,5,2012-09-16T00:00:00
Food Village @ Takashimaya,So fun and easy to grab a Grab car.,5,5,2018-10-29T00:00:00
Everest Kitchen,This place has it all worked out.,5,5,2012-07-18T00:00:00
Tolido's Espresso Nook,By far my new favorite breakfast spot in Singapore.,5,5,2018-09-15T00:00:00
MTR 1924,Also had the chai.,5,5,2018-01-15T00:00:00
Boon Tong Kee,"Anyways, I would go back only for the chicken rice but for the rest, not that impressed!",5,3,2014-09-21T00:00:00
The Curry Culture,This will be one of my regular spots when in singapore!,5,5,2013-11-02T00:00:00
Vietnamese - Authentic Vietnamese Cuisine,"I shouldn't have to tell you about it, you shouldn't have to read about it on a screen.",5,5,2013-04-02T00:00:00
Mellben Seafood,We brought our overseas guests here on a rainy saturday evening.,5,4,2015-11-30T00:00:00
Hokkaido Ramen Santouka,i was thrilled when they opened a branch here.,5,5,2013-02-05T00:00:00
Sakunthala's,"Since I visited in 2007, I compare every Indian dish to this restaurant.",5,5,2012-09-19T00:00:00
JB Ah Meng, And...... we are without words!!!,5,5,2019-07-17T00:00:00
Jumbo Seafood,Try all of these!,5,5,2019-05-14T00:00:00
Komala Vilas Restaurant,"Even tho it was all vegetarian, it left me content.",5,4,2015-06-13T00:00:00
OverEasy,Husband and I came on a Friday evening so it was hoppin' with locals and tourists alike!I ordered the 'to die for' burger and my husband got the truffle Mac and cheese.,5,3,2012-11-30T00:00:00
Ah Tai Hainanese Chicken Rice,"Located in the same Maxwell Food Court that houses the icon and the biggest competitor, Tian Tian Hainanese Chicken Rice.",5,4,2015-04-23T00:00:00
Ippudo,I always get extra noodles and leave no trace of broth after I'm done.,5,5,2014-04-21T00:00:00
Spizza,"I am partial to the Isabella (parma ham, tomato, mozzarella and rucola salad) but I also haven't tried everything on the menu just yet.",5,3,2013-04-22T00:00:00
Long Phung Vietnamese Restaurant,My advice would be to take grab a few friends and cab there.,5,4,2012-08-23T00:00:00
Song Fa Bak Kut Teh,Never heard of in Asia.,5,5,2017-12-17T00:00:00
The BOILER Seafood Bar & Beer,ello 'ello 'ello *i trimmed my nails and wore dark clothing for the visit to the mighty crab temple* Who would have thought there'd be a Louisiana seafood themed restaurant situated in the middle of nowhere.,5,4,2015-12-29T00:00:00
The White Rabbit,"If you think they deserve 5 stars, you might want to think again.",5,1,2014-02-17T00:00:00
Ya Kun Kaya Toast,Game changer.,5,5,2018-01-06T00:00:00
BK Eating House,There isn't much else to say except that you HAVE to try this dish.,5,4,2016-02-03T00:00:00
Salt Grill & Sky Bar,"I had booked a table for 11am and although the restaurant was pretty much empty, we were sat in the centre of the room.",5,5,2014-08-24T00:00:00
Pollen,My first thought with every dish was how British that cooking was.,5,4,2018-03-11T00:00:00
Burnt Ends,An experience you can't miss.,5,5,2018-04-10T00:00:00
National Kitchen By Violet Oon,This one is located in the City Hall section of the National Gallery.,5,4,2017-08-27T00:00:00
Going Om,"Ofcourse, comparing it to the shisha joints in Egypt will not be a fair comparison.",5,4,2014-10-27T00:00:00
Odette,"not quite five stars but a solid four.my benchmark for fine dining in SG will always be andre and unfortunately julien has yet to step out of his shadow.their space at the national gallery is a class act but not anywhere as panoramic as jaan.still, you will impress your date IF you bring one.their delightfully friendly and accommodating service team will further ensure you and yours are well taken care of.the pacing of the tasting menu was fine, with enough time to take that perfect food porn and with free wifi enabling you to upload instantly to yelp!as for the food, some dishes, the egg, the cepe tea and the dessert, were just too similar to jaan.nothing necessarily wrong but just a tad bit boring for my picky palate.the artisan bread selection with unsalted butter, prosciutto and lard spread will stave off any hunger pangs and increase serotonin to such levels, leading to happiness!the heirloom beetroot variation was a standout dish for me.i might well turn vegetarian if all non-meat dishes taste as such, beautiful to both eye and mouth!the seafood dishes were also noteworthy, fresh, simple ingredients assembled with complexity.desserts whilst satiating were nothing mind blowing, so maybe i will try their cheese supplement next time.now lo and behold, this is something that grandma odette can be proud of.",5,4,2015-11-28T00:00:00
La Brasserie,Enjoy your customized Gin & Tonic ($19) as you enjoy the sunset from the opulent surrounding.,5,5,2017-09-01T00:00:00
Singapore Seafood Republic,"Out in Sentosa, so maybe not too many people know about it.",5,5,2013-12-20T00:00:00
Fatboy's The Burger Bar,"But well, there doesn't seem a way which they could drain the oil off the rings.TBB is a franchise co from Fatboys, by Singapore DJs, Vernon A and Justin Ang famously known duo as Muttons!",5,4,2015-11-11T00:00:00
Liao Fan Hawker Chan,"After a mediocre experience with the brick and mortar store, decided to give the stand a try to see if it really is better.",5,3,2018-04-05T00:00:00
CUT,Dined here a few weeks ago.,5,4,2018-08-03T00:00:00
Riders Cafe,We went to Riders on a Saturday for brunch and it was packed.,5,3,2015-06-20T00:00:00
Jumbo Seafood,This place is off the hook!,5,5,2018-05-21T00:00:00
Tolido's Espresso Nook,We've been here twice now.,5,5,2018-04-26T00:00:00
Etna Italian Restaurant,"From the reviews, I thought this place would be fantastic but I was not impressed.",5,3,2013-06-24T00:00:00
328 Katong Laksa,I have visited Singapore 9 times when my boyfriend was studying there.,5,5,2014-02-07T00:00:00
Ah Loy Thai,Can't wait to come back for more!,5,5,2018-08-27T00:00:00
Esquina,It is one of his favourites.tinyurl.com/aap4gfnThis was one of my favourite meals in Singapore.,5,5,2013-03-03T00:00:00
Thien Long Vietnamese Restaurant,"Like I said in my tip, eating here is an experience!",5,4,2014-09-04T00:00:00
Teochew Handmade Pau,"And as the their name states, they are all handmade and started by Mr Yeoh who is Teochew.",5,4,2012-08-26T00:00:00
Long Beach Seafood,"Our noses were running and our hands were messy, but our bellies were happy and full!",5,5,2019-12-29T00:00:00
Jaan,Then it was back to more refreshing bites with the Tomato Collection.,5,5,2016-02-16T00:00:00
MTR 1924,Lots of local Indians so clearly they are doing something right though.,5,3,2017-11-24T00:00:00
Soup Restaurant,"Tonight we enjoyed a dinner set for 4 people, consisting of soup, steamed chicken, sweet and sour pork, egg with tomato, fried rice, and sauted vegetables.",5,4,2019-10-06T00:00:00
Man Man Japanese Unagi,Finally trying Man Man after hearing all the glowing reviews from friends and food bloggers.,5,4,2019-02-28T00:00:00
Braseiro,"There's many food choices in this part of town, but this brings something new to the mix.",5,4,2015-04-11T00:00:00
Maison Ikkoku Restaurant & Bar,"dressing.At Maison Ikkoku, you place the order yourself at the cashier and get your own iced water and condiments.",5,4,2013-07-15T00:00:00
OLA Cocina del Mar,Please order it!,5,4,2016-03-04T00:00:00
Man Man Japanese Unagi,We got a seat near the counter where they prepared the food.,5,5,2018-07-17T00:00:00
Employees Only,We've lived in Singapore for 3 years and this was the single worst experience we've ever had.,5,1,2019-05-11T00:00:00
YAYOI,"And, it's not just any rice, but the nice kind that's flown in from Japan!",5,2,2013-02-16T00:00:00
Tong Ah Eating House,"Okay okay, I'm going to be the first obnoxious Yelper to say it (although I'm sure many of you are thinking it): While the old location was amazing, fantastic, 5-stars-won't-do-it-justice-good, the new spot?",5,3,2014-01-28T00:00:00
National Kitchen By Violet Oon,The anticipation was really high.,5,3,2019-12-28T00:00:00
Jumbo Seafood,"We ordered a chili crab (a ""medium"" sized one which was plenty for the three of us), a side of vegetables, steamed rice and chow mein.",5,4,2018-11-18T00:00:00
PS Cafe,I didn't try any main course.,5,3,2015-06-13T00:00:00
Usman Restaurant,This joint hits the spot.,5,5,2016-07-02T00:00:00
Liao Fan Hawker Chan,"If I went with others, we could have had more dishes to try out!",5,4,2018-01-25T00:00:00
Ash & Elm,"I was staying at the Intercontinental hotel and on my first evening in town I decided to eat nearby, so I dined here.",5,5,2020-01-13T00:00:00
Gajalee,In town for business and refuse to eat dinners in hotels unless captive.,5,4,2015-03-24T00:00:00
Hainanese Delicacy Chicken Rice,The rice is also non oily which is the kind of chicken rice I like.,2,4,2013-10-27T00:00:00
Bismillah Biryani,I've had better for cheaper.,1,2,2015-08-28T00:00:00
Dian Xiao Er,Lou Hei!,5,5,2015-01-26T00:00:00
Subarashii Grill & Bar,They have affordable donburi priced from $7 onwards.,1,5,2017-03-24T00:00:00
Ocean Curry Fish Head,this is my favourit restaurant for this.,5,5,2011-06-09T00:00:00
Taste Paradise,"They have a good variety of the traditional har gau siew mai stuff, but they also have some innovative new dim sum items that aren't available anywhere else.",5,4,2012-07-12T00:00:00
Imperial Treasure Nan Bei Restaurant,"This is a must-go restaurant if you are craving for dim sum.The dim sum was top notch- we ordered siew mai, shrimp rice roll - excellent because the rice roll wrap was thin, and the sauce complements it a lot although the sauce could be a bit more as I eat the sauce with rice.. :p, and the ha kau was delish.From the menu, we ordered a few dishes as well.",2,5,2015-11-13T00:00:00
LAVO Italian Restaurant & Rooftop Bar,"At that price, it seemed like a better deal to have lunch on the 57th floor at LAVO.",1,3,2018-11-18T00:00:00
FOC,Beef cheek burger was okay and lamb chops were bland.,2,1,2017-08-03T00:00:00
Din Tai Fung,"The restaurant was still quite full and bustling for good reason, the food was awesome.",4,4,2014-12-27T00:00:00
Imperial Treasure,"The duck skin was crispy and we hardly noticed any fat on it.The second serving is the duck meat which we wrapped in pancake, with cucumbers, spring onions and hoi sin sauce.The third and final serving is the one where you can choose how you would like the remaining duck meat to be cooked.",2,5,2014-09-10T00:00:00
Lolla,Never had octopus so meaty and tender before .,2,5,2015-12-18T00:00:00
Wolf Burgers, not letting the meat rest could be the ussue here.,5,1,2016-08-27T00:00:00
timbre+,* They have an interesting system whereby you get a dollar back when you return your tray.,1,4,2016-04-11T00:00:00
Long Beach Seafood,Im giving 3 stars for the pepper crab and service.,5,3,2019-08-09T00:00:00
The Curry Culture,Getting reservation was easy as we were here an hour before it's closing time.,3,5,2017-04-21T00:00:00
Jian Bo Shui Kueh,"The shui kueh is topped with ""chye pooh"" (preserved radish) that is sweet and nutty at the same time.",2,5,2016-03-06T00:00:00
Ah Tai Hainanese Chicken Rice,Not bad overall.,5,4,2018-03-31T00:00:00
Song Fa Bak Kut Teh,The soup is very peppery with the white pepper taste.,2,4,2014-10-12T00:00:00
La Brasserie,"Also, it's possible to take away some of those lovely Western and Asian sweets at the brand new Fullerton Boutique located at the restaurant entrance leading from the hotel.",5,5,2017-09-01T00:00:00
Spago By Wolfgang Puck,"They did come right off the bill, so all good there.",5,4,2017-10-10T00:00:00
Clinton Street Baking Company & Restaurant,Place is a staple.,5,5,2020-01-01T00:00:00
Salt Grill & Sky Bar,It came close to allowing the red peppers to dominate.,2,5,2012-12-08T00:00:00
Tonkatsu Ma Maison,"On the side note, you may want to put the sauce on the side, because your tonkatsu might get soggy by the end.",2,2,2015-10-12T00:00:00
Bistro Du Vin,In summary this place for me is all that is belle about french dining.,5,5,2016-01-23T00:00:00
Kuriya Dining,"For the price, I would say that it's not one of the very best Japanese places around, but the experience here was very good and the food itself was quite satisfying.",1,4,2013-05-11T00:00:00
The Sushi Bar,The Chirashi does offer a nice selection of fish - a much nicer selection than some other places in fact.,2,4,2016-01-22T00:00:00
Jumbo Seafood,Chili crab for the win!,2,5,2016-03-16T00:00:00
Jumbo Seafood,"Unfortunately, this will be my last visit to Jumbo Seafood.",5,4,2018-08-26T00:00:00
Mrs Pho,"You get the cool air followed by a blast of warm air, it is most disconcerting.",4,3,2015-05-21T00:00:00
Tonkatsu Ma Maison,"I had the tonkatsu fillet and, again, the bomb!",2,5,2013-01-10T00:00:00
328 Katong Laksa,"Supaya dapat (SIM surat ijin mancing) next trip, sogok dulu pemilik SIM dengan 328 Katong laksa yang hmmmm wangi dan enaknya.Food : 4.5/5Service : 3/5Price : $$Place : 3/5.HalalRest : 328 Katong LaksaLocation : East coast roadCity : Singapore.",5,4,2018-05-12T00:00:00
Entre Nous Creperie,"Definitely order anything with the homemade salted caramel sauce, or just ask for a container to take home.",2,5,2015-03-03T00:00:00
Latteria Mozzarella Bar,Genius.The second one we had was a creamier mozzarella served on top of a bed of grilled zucchini.,2,4,2012-10-20T00:00:00
The Song of India,was concerned a 1 Star Michelin Indian restaurant would be too remote and disconnected from Indian food for my preference.,5,5,2018-08-14T00:00:00
Outram Park Fried Kway Teow Mee,"Definitely a dish I will be missing at home and having been to Penang the day after this visit, can say it's right up there as one of the better noodle dishes I had on this trip.",2,5,2014-12-02T00:00:00
Artichoke Cafe & Bar,had a great brunch here and i'm eager to go back and try their dinner menu.,5,4,2016-11-12T00:00:00
Ah Tai Hainanese Chicken Rice,"Perfectly cooked, very flavorful and the sauces - soy, ginger and chili - were perfect complements to the dish!As it turns out, the original chef from Anthony Bourdain's show move down this food stall.",2,5,2015-09-16T00:00:00
Sushi Kimura Singapore,"Dining at these establishments costs a fortune, so when you go, might as well splash out and opt for the most expensive omakase!",1,4,2018-09-29T00:00:00
The Dempsey Cookhouse & Bar,Does JGV have a secret Italian godmother?,5,5,2017-07-10T00:00:00
Happy Chef Western Foods,"Chicken was grilled to perfection, tender, juicy and delicious all at the same time.",2,4,2013-12-22T00:00:00
Cafe Melba,"Unfortunately, Cafe Melba doesn't cater to salad snobs.",5,3,2016-07-19T00:00:00
The Beast,"The chicken and waffle was unfortunately, quite forgettable.",2,4,2015-06-04T00:00:00
Ruth's Chris Steak House,We shared so we're all could taste more food.,5,4,2015-10-30T00:00:00
La Pizzaiola,A sprinkling of parmesan on top to finish off the dish would've been nice.,2,4,2016-05-08T00:00:00
Candlenut,"Dessert:- Buah keluak ice cream with valrhona chocolate, salted caramel, chili, warm milk chocolate sauce.",2,4,2020-02-08T00:00:00
Clinton Street Baking Company & Restaurant,Would go back once in a while,5,4,2015-10-16T00:00:00
PS.Cafe,"Be prepared to spend some cashola but for the quality, portions and ambiance, it's worth it.",5,4,2017-11-02T00:00:00
Triple Three,Attentive staff makes for pleasant lunch.,3,4,2014-11-15T00:00:00
Red House,Overpriced for what it was.,1,1,2017-09-14T00:00:00
Majestic Bay,"This is one massive pan of rice piled generously with baby abalones, scallops, mussels and prawns, as well as mushrooms (not the chinese sort).",2,4,2013-03-22T00:00:00
Etna Italian Restaurant,It wasn't fresh and barely tasted like fish!,2,3,2013-06-24T00:00:00
Sum Kee,"Now, this is not a typical tze char dish in Singapore and you've gotta try it.",5,5,2015-10-23T00:00:00
Ya Kun Kaya Toast,And I noticed that the tables were cleaned up very speedily.,3,5,2019-03-23T00:00:00
Lei Garden,"In the end, the 10th person is left with just a little bit of meat on the fin of a fish.The Longevity noodles, however, was the best I've had.",2,3,2013-08-17T00:00:00
FOC,And not even enthusiastically good.,5,3,2014-12-21T00:00:00
Por Kee Eating House,"So I suspect the kitchen was taking shortcuts, which might've explained the food quality.We were also seated in the overflow area - outside with no fans.",3,2,2015-12-13T00:00:00
Thien Long Vietnamese Restaurant,"Added bonus that the owners are such nice, hospitable folks that don't pressure you.",3,4,2014-11-20T00:00:00
PS.Cafe,We literally had to wave the guy over.,3,2,2016-06-12T00:00:00
Hambaobao,Be prepared to wait for as long as a half hour without the AC.,4,5,2016-05-07T00:00:00
Liao Fan Hawker Chan,This is more something my parents would probably enjoy :D,5,4,2019-09-30T00:00:00
Mellben Seafood,Do go early to queue.,3,4,2016-02-14T00:00:00
Long Phung Vietnamese Restaurant,To be honest the food here isn't over-the-moon fantastic - but it's definitely the place to hit when a craving for Vietnamese food comes calling.,2,4,2015-11-23T00:00:00
Publico,The steak was tasty and juicy and seasoned just right.,2,4,2019-03-16T00:00:00
Aji-ichi,Do prepare to queue for a seat during peak hours.,3,5,2018-11-06T00:00:00
Mezza9,These potent spices warm the belly in seconds.,2,4,2013-09-06T00:00:00
Keng Eng Kee Seafood,According to my friends it can get very busy especially during dinner time.,3,4,2019-06-01T00:00:00
Long Beach Seafood,"I LOVED the chili because it was so rich and creamy, while my friend loved the taste of the black pepper.",2,4,2013-10-26T00:00:00
Founder Bak Kut Teh,"It is located near Novena, the building is kinda dark though.",4,5,2016-04-18T00:00:00
Long Beach Seafood,"Dempsey is quite hard to get to, if you don't have a car.",4,5,2016-01-15T00:00:00
Chir Chir,I went at 3 pm in the afternoon and could barely hear my friend who was seated across from me.,4,3,2017-01-06T00:00:00
Arnold's Fried Chicken,A friend organised a movie marathon in her obscure estate last weekend.,5,3,2012-09-08T00:00:00
Symmetry,I must say while the egg benedict was yum,2,3,2016-06-11T00:00:00
Symmetry,the price tag was just not justified by the portion served.,1,3,2016-06-11T00:00:00
One Man Coffee,Though aircon was a little warm but still the vibe was still good.,4,5,2019-06-27T00:00:00
iO Italian Osteria,"I don't usually like Italian food, but this place is not too bad.",5,3,2016-03-26T00:00:00
Mezza9,"Meanwhile, though the sourishness of the baked figs on puff pastry made one's face pucker unknowingly, it was nice balance to the sweet vanilla Creme custard sauce.",2,4,2013-09-06T00:00:00
PS.Cafe,I tried several main dishes there but they could not make any good impact on my memory.,5,2,2015-11-24T00:00:00
Genesis Vegan Restaurant,"From the dumplings to the tofu cheesecake, it was delightful in a lively setting with helpful staff",3,5,2018-04-17T00:00:00
Genesis Vegan Restaurant,Super impressed with this restaurant as I am not a Vegan yet was delighted by the taste and selection offered!,2,5,2018-04-17T00:00:00
DB Bistro Moderne,"Whilst the texture of the burger was good, it was woefully under-seasoned and thus lacked any flavour.",2,2,2016-06-11T00:00:00
Keisuke Tonkotsu King,We were here right at 6pm when they opened and we managed to walk in straight away.,5,4,2013-07-30T00:00:00
FOC,"Come to mama.They impressed me when I walked in the door, the hostess squeezing me in on the spot despite no real opening for quite awhile.",3,5,2015-06-21T00:00:00
Toast Box,As usual the kaya toast was good for a quick snack and the milk tea is always refreshing.,2,4,2017-10-29T00:00:00
Zam Zam Restaurant,Mutton murtabak is delicious.,2,4,2013-05-11T00:00:00
Wee Nam Kee Chicken Rice,The Bottom Line: Wee Nam delivers a killer Roasted Chicken Rice.,2,5,2015-01-05T00:00:00
Wee Nam Kee Chicken Rice,Fair Warning: any dish outside of chicken rice could take a while to serve,3,5,2015-01-05T00:00:00
Margarita's Dempsey Hill,Their spice level is very manageable relative to other Mexican restaurants.,2,5,2017-10-14T00:00:00
Ippudo,The egg was also cooked just nice with a slight runny yolk.,2,4,2012-07-24T00:00:00
Liao Fan Hawker Chan,"The reason I chose to eat at the stall is because the prices are cheaper and the food is ""supposedly"" better.",1,4,2018-06-18T00:00:00
Tatsuya,It was just $100 value but I've paid more than $300.,1,2,2014-08-19T00:00:00
Gordon Grill,The food is very good and portions are very generous.,2,4,2014-09-13T00:00:00
Majestic Bay,The Sri Lankan crab is cooked with a special sauce made from a blend of 3 different varieties of coffee beans.,2,4,2013-03-22T00:00:00
Old Airport Road Food Centre, We had some noodles and a clay chicken pot with rice.,5,3,2019-07-13T00:00:00
Yamagawa Japanese Restaurant,Anyways this review is strictly about their teppanyaki menu only as we did not try anything else!I've been on the search to find reasonably priced but GOOD teppanyaki for the longest time.Anyways we went there on a Sunday evening at around 6-7pm.,1,2,2014-11-10T00:00:00
Gyu Kaku Japanese BBQ,"It is difficult to believe this is a chain restaurant.If you do not like meat, you might not like Gyu Kaku.Japanese BBQ.If you do like meat, you will probably like Gyu Kaku Japanese BBQ.I love meat, so I love Gyu Kaku Japanese BBQ.The ambiance is nice.",2,4,2012-10-19T00:00:00
Allauddin's Briyani,Rice + Meat + some type of gravy = comfort food in any culture.,2,5,2017-03-30T00:00:00
The Black Swan,There was another time where one of the servers let me charge my phone by where the sound booth was.,3,4,2017-06-12T00:00:00
SKIRT,I read about it and arrived in pursuit of its goodness.,5,5,2013-06-10T00:00:00
Owls Brew,Nutty body which turned then turned again into something fruity and actually almost citrusy and then had a brief finish of hops.,2,5,2013-07-21T00:00:00
Din Tai Fung,Both were super mediocre.,5,3,2019-01-05T00:00:00
Moc Quan,It is a locally owned establishment and they definitely take pride in their work.,5,5,2016-11-03T00:00:00
timbre+,"To me, this demonstrates one very important thing.",5,5,2016-12-03T00:00:00
Beirut Grill,"We were seated promptly, but afterwards received indifferent, inconsistent service.",3,3,2016-03-30T00:00:00
Famous Sungei Road Trishaw Laksa,The owner is very friendly and proud of his well deserved awards.,3,5,2017-12-10T00:00:00
Ssikkek Korean Grill BBQ Buffet,Use the scissors provided to cut the slices into small pieces and continue cooking for a while more.12.,5,4,2014-11-23T00:00:00
Keisuke Tonkotsu King,"If you think you want more ramen, tell the waiter before you finish the soup - there's an explanation on the wall about this.",5,4,2013-07-03T00:00:00
The Original Katong Laksa,"I loved that layer of creamy substance on top of the laksa, texture similar to that of crab or shrimp brain roe.",5,5,2019-11-05T00:00:00
Luk Lu Eating House,"The stalwart Beach Road Mixed Curry Rice stall is great for consistently good, quick and cheap food, and even the Chuan Kee Duck Rice and Roasted Meat stall has its fans.",1,5,2012-08-16T00:00:00
Zhen Zhen Porridge,"It gets sold out pretty early, and the wait can be pretty long.",3,5,2012-08-08T00:00:00
Zhen Zhen Porridge,"It probably does not have the Crystal Jade plain porridge standard, but with the generous amount of sesame oil and sesame seeds, it's perfect to go along with the yu sheng.",2,5,2012-08-08T00:00:00
Pura Brasa,I loved it!,5,3,2020-01-12T00:00:00
The White Rabbit,That's really good shit.,5,4,2019-07-31T00:00:00
Esquina,"I never liked beet until I moved to NYC, and eating beets there totally changed my mind about this muddy veggie.",5,4,2013-07-04T00:00:00
The White Rabbit,"Very American of me, I know.",5,4,2017-08-16T00:00:00
Jumbo Seafood,Be sure to finish them first when hot.,5,4,2017-11-19T00:00:00
Burnt Ends,Love the smokiness of the food.,2,5,2015-08-08T00:00:00
Ya Kun Kaya Toast,"Eggy, soft, an.... eggcellent :D way to start your day.Kaya Butter Toast is also good but I did laugh at the huge piece of butter sandwiched between the toast.",2,5,2018-12-17T00:00:00
PS Cafe,Service was decent.,3,4,2014-12-18T00:00:00
Decker Barbecue,"Yes, there are a few but this latest place may claim to be the best yet.",5,5,2015-11-15T00:00:00
