,Restaurant,Review,Label,Stars,Date,Review_clean
735,Mellben Seafood,"The soup is delicious, although I could sense a great deal of MSG in the soup!",2,5,2014-08-19T00:00:00,the soup is delicious although i could sense a great deal of msg in the soup
736,Red House Seafood Restaurant,Had their black pepper crab and was this a new taste sensation.,2,4,2016-03-29T00:00:00,had their black pepper crab and was this a new taste sensation
737,Waterfall Cafe,"Definitely this western/mediterarian (spelling) food is not catered to typical Singaporean palate, but to their international hotel guests.",2,4,2013-02-23T00:00:00,definitely this western mediterarian spelling food is not catered to typical singaporean palate but to their international hotel guests
738,No Signboard Seafood Restaurant,"Instead like cat or some other myaterious animal... not like beef either... Not sure what they served us in place of venison there...Scallops were great, and a beef noodle dish was good as well.",2,3,2014-01-04T00:00:00,instead like cat or some other myaterious animal not like beef either not sure what they served us in place of venison there scallops were great and a beef noodle dish was good as well
739,Tiong Bahru Bakery,"The croissant was still delicately crispy on the outside and buttery on the inside, it was good yes!",2,3,2012-08-13T00:00:00,the croissant was still delicately crispy on the outside and buttery on the inside it was good yes
740,Vatos Urban Tacos,"Fat Bastard burrito was good, too.",2,5,2018-03-12T00:00:00,fat bastard burrito was good too
741,The Song of India,Gajar halwa was dry.,2,3,2019-05-14T00:00:00,gajar halwa was dry
742,Holycrab,"We had the lightly fried bread, highly recommended to soak up the sauce.",2,4,2019-05-27T00:00:00,we had the lightly fried bread highly recommended to soak up the sauce
743,Mr and Mrs Mohgan's Super Crispy Roti Prata,Probably one of the best Prata in Singapore.,2,4,2017-03-06T00:00:00,probably one of the best prata in singapore
744,Tolido's Espresso Nook,Menu misses yoghurt or muesli for breakfast...,2,3,2016-01-30T00:00:00,menu misses yoghurt or muesli for breakfast
745,Indocafe The White House,The food is really good.,2,4,2015-04-22T00:00:00,the food is really good
746,Saveur,The taste is lighter than the signature pasta and the spring onions gives each mouthful a refreshing burst when you bite into them.,2,4,2012-12-07T00:00:00,the taste is lighter than the signature pasta and the spring onions gives each mouthful a refreshing burst when you bite into them
747,Bistro Du Vin,the trout is deboned and so succulent and tender.,2,4,2012-09-30T00:00:00,the trout is deboned and so succulent and tender
748,BK Eating House,"fishball is good, but don't like sweaty sauce.",2,3,2018-08-08T00:00:00,fishball is good but don t like sweaty sauce
749,Sum Kee,"It has an old school Beer garden feel, reminds u of the old fashioned chinese restaurant in the 80s.What's good here is their golden nugget tofu - homemade tofu deep fried with minced meat gravy, sum lo hor fun (no XO and XO versions) where you can actually taste the wok hei.",2,3,2012-09-02T00:00:00,it has an old school beer garden feel reminds u of the old fashioned chinese restaurant in the what s good here is their golden nugget tofu homemade tofu deep fried with minced meat gravy sum lo hor fun no xo and xo versions where you can actually taste the wok hei
750,Artichoke Cafe & Bar,"The maple-glazed bacon chop was thick and meaty, with just enough fat to be tender and fragrant.",2,2,2013-04-06T00:00:00,the maple glazed bacon chop was thick and meaty with just enough fat to be tender and fragrant
751,Leong Kee Bak Kut Teh,This is probably the worst Malaysia bah kut teh that I've ever tasted.,2,2,2017-04-09T00:00:00,this is probably the worst malaysia bah kut teh that i ve ever tasted
752,PS.Cafe,The entrees and appetizers I've had here have been satisfying but not exactly memorable.,2,4,2014-04-06T00:00:00,the entrees and appetizers i ve had here have been satisfying but not exactly memorable
753,PS Cafe,Popped by for desserts since I was in the vicinity of the cafe and was craving for sticky date pudding.,2,4,2019-07-05T00:00:00,popped by for desserts since i was in the vicinity of the cafe and was craving for sticky date pudding
754,May May,"I did wish the sauce was evenly mixed in, but I enjoyed the fresh fish, delicious mushrooms and soft-boiled egg.",2,4,2016-02-02T00:00:00,i did wish the sauce was evenly mixed in but i enjoyed the fresh fish delicious mushrooms and soft boiled egg
755,Maison Ikkoku Restaurant & Bar,"drinks are amazing here - the only time i've had to have something re-done was for Maison's version of a bloody mary, it wasn't that it was bad, but it was just too spicy.",2,5,2013-04-17T00:00:00,drinks are amazing here the only time i ve had to have something re done was for maison s version of a bloody mary it wasn t that it was bad but it was just too spicy
756,Latteria Mozzarella Bar,"On first mouth, I thought it was a tad salty.",2,4,2012-10-20T00:00:00,on first mouth i thought it was a tad salty
757,Indocafe The White House,The soup was light without too sweet.,2,4,2017-06-27T00:00:00,the soup was light without too sweet
758,Alati,"We especially loved the Greek salad, prawns, chicken and cake.",2,5,2016-11-28T00:00:00,we especially loved the greek salad prawns chicken and cake
759,Long Beach King Seafood,"We moved on to the black pepper crab and wow, that sauce blew us away.",2,5,2018-02-28T00:00:00,we moved on to the black pepper crab and wow that sauce blew us away
760,Crystal Jade La Mian Xiao Long Bao,Scallion and shallot oil la mian - very plain but yet so tasty with the scallion shallot oil.,2,4,2013-03-02T00:00:00,scallion and shallot oil la mian very plain but yet so tasty with the scallion shallot oil
761,A Noodle Story,But man best toppings ever on a ramen and the presentation is stunning!,2,4,2019-12-01T00:00:00,but man best toppings ever on a ramen and the presentation is stunning
762,Kok Sen Restaurant,"However, the owner can sometimes get carried away with the msg, leaving me very very parched after meals.",2,4,2014-03-09T00:00:00,however the owner can sometimes get carried away with the msg leaving me very very parched after meals
763,Hambaobao,Hambaobao serves up a great portion of food that is suited to anybody who enjoys a great juicy burger.,2,5,2016-05-11T00:00:00,hambaobao serves up a great portion of food that is suited to anybody who enjoys a great juicy burger
764,Oscar's,All the food we had tasted were great and fresh.,2,4,2018-07-24T00:00:00,all the food we had tasted were great and fresh
765,DB Bistro Moderne,"Madeleines, which are still as light as those on my previous visit.",2,4,2013-07-24T00:00:00,madeleines which are still as light as those on my previous visit
766,Momma Kong's Crab Shack,The chili crab was amazing as were the side breads.,2,5,2016-10-23T00:00:00,the chili crab was amazing as were the side breads
767,Soup Restaurant,The venison was also great; it's super tender.,2,4,2014-04-13T00:00:00,the venison was also great it s super tender
768,Margarita's Dempsey Hill,"Enjoyed the Chicken burrito, very nice presentation, as well as the red snapper my wife had.",2,5,2017-07-28T00:00:00,enjoyed the chicken burrito very nice presentation as well as the red snapper my wife had
769,Artichoke Cafe & Bar,It looks great but has no flavor.,2,1,2014-10-31T00:00:00,it looks great but has no flavor
770,The Banana Leaf Apolo,The squid is buttery soft and simply melts in your mouth.,2,5,2014-11-17T00:00:00,the squid is buttery soft and simply melts in your mouth
771,No. 18 Zion Road Char Kway Teow,"If you want solid noodles, you can go here and it is tasty and not as oily as others I've tried.",2,3,2015-01-21T00:00:00,if you want solid noodles you can go here and it is tasty and not as oily as others i ve tried
772,Ah Ter's Fishball Minced Meat Noodles,The soup version is just as good.,2,5,2015-07-16T00:00:00,the soup version is just as good
773,Teng Bespoke Japanese Vegetarian Dining,"I love that about this restaurant, and the general taste is not bad at all!",2,4,2013-12-30T00:00:00,i love that about this restaurant and the general taste is not bad at all
774,CUT,"The onion rings are excellent as well, exactly the way you always hope they'll be but rarely are.",2,3,2015-12-12T00:00:00,the onion rings are excellent as well exactly the way you always hope they ll be but rarely are
775,Tandoori Culture,Plain nann is also very good.,2,5,2016-03-18T00:00:00,plain nann is also very good
776,Tonkatsu Ma Maison,"Although the meat was very high quality, the end result was just like another fried piece of meat.",2,3,2017-03-11T00:00:00,although the meat was very high quality the end result was just like another fried piece of meat
777,My Little Spanish Place,"and absorbed with the juices of the accompanying meats and seafood, which I feel thoroughly brings out the best medley in flavours.",2,5,2015-02-09T00:00:00,and absorbed with the juices of the accompanying meats and seafood which i feel thoroughly brings out the best medley in flavours
778,Tsui Wah,"It was mediocre, pork chop was dry, they didn't allow options to swap out starch or vegetable.",2,2,2019-08-10T00:00:00,it was mediocre pork chop was dry they didn t allow options to swap out starch or vegetable
779,Gyoza-Ya,"One of my favourites picks was the all-new Crab Gyoza $7.80, an interesting and flavourful twist to the traditional meat filling.",2,4,2014-09-02T00:00:00,one of my favourites picks was the all new crab gyoza an interesting and flavourful twist to the traditional meat filling
780,Saveur,Food was a bit bland.,2,3,2017-01-09T00:00:00,food was a bit bland
781,DB Bistro Moderne,But the ingredients were amazing and came together so well.,2,4,2013-03-03T00:00:00,but the ingredients were amazing and came together so well
782,China Whampoa Home Made Noodle,This was an essential ingredient as it provides a natural sweetness to the soup.,2,5,2013-10-17T00:00:00,this was an essential ingredient as it provides a natural sweetness to the soup
783,Keisuke Tonkotsu King,"Delicious, delicious.",2,5,2015-06-17T00:00:00,delicious delicious
784,National Kitchen By Violet Oon,This tapioca cake looked innocently like an ordinary slice of cheesecake but was actually a slice of heaven in disguise.,2,5,2018-03-31T00:00:00,this tapioca cake looked innocently like an ordinary slice of cheesecake but was actually a slice of heaven in disguise
785,Ramen Keisuke Tori King,"However, the broth tasted just like CHICKEN SKIN FAT.",2,3,2017-03-11T00:00:00,however the broth tasted just like chicken skin fat
786,Liao Fan Hawker Chan,I actually preferred the pork.,2,3,2018-06-11T00:00:00,i actually preferred the pork
787,Hainanese Delicacy Chicken Rice,Awesome food just melts in your mouth.,2,5,2016-04-02T00:00:00,awesome food just melts in your mouth
788,Three Buns,This place is delicious don't sleep on it !,2,5,2019-10-01T00:00:00,this place is delicious don t sleep on it
789,Tiong Bahru Bakery,Coffees are specially brewed by barista to perfection.,2,5,2017-12-14T00:00:00,coffees are specially brewed by barista to perfection
790,Esquina,The sweetness of the urchin is perfect and it is served with clunky crab meat.,2,4,2013-07-04T00:00:00,the sweetness of the urchin is perfect and it is served with clunky crab meat
791,No Signboard Seafood Restaurant,"Eggplant - standard chinese eggplant dish, but you have to have your veggies!Anyway, make your way to the Geylang resty if you've got a chance.",2,4,2014-11-18T00:00:00,eggplant standard chinese eggplant dish but you have to have your veggies anyway make your way to the geylang resty if you ve got a chance
792,Chikuyotei,The sushi was fresh and dessert delicious as well.,2,4,2016-10-30T00:00:00,the sushi was fresh and dessert delicious as well
793,Sungei Road Laksa,"The flavors are spicy and savory, and they also had plenty of seafood pieces throughout the whole bowl!",2,5,2016-11-05T00:00:00,the flavors are spicy and savory and they also had plenty of seafood pieces throughout the whole bowl
794,La Ristrettos,A self proclaimed coffee specialist that does not serve pourovers.,2,1,2014-12-17T00:00:00,a self proclaimed coffee specialist that does not serve pourovers
795,Odette,"The only thing that was even sort of exciting was the side of flavored rice.Crab: Covered in a gel layer, this dish was probably the most obvious display of their use of molecular gastronomy.",2,3,2020-03-09T00:00:00,the only thing that was even sort of exciting was the side of flavored rice crab covered in a gel layer this dish was probably the most obvious display of their use of molecular gastronomy
796,Liao Fan Hawker Chan,The chicken and Chau Siew are both good but not something that you must have.,2,3,2019-07-27T00:00:00,the chicken and chau siew are both good but not something that you must have
797,Blanco Court Prawn Mee,"The soup was tasty but not as flavorful as I expected, can be better.",2,4,2015-01-27T00:00:00,the soup was tasty but not as flavorful as i expected can be better
798,The Tippling Club,It was simply delicious and had such a rich and beautiful color.,2,5,2018-07-25T00:00:00,it was simply delicious and had such a rich and beautiful color
799,Sin Ming Roti Prata,The maggi mee goreng was passable though I don't know why there was achar on the plate.,2,4,2015-10-10T00:00:00,the maggi mee goreng was passable though i don t know why there was achar on the plate
800,Nicolas Le Restaurant,"The pork was just wonderful, tender and had that very porky feeling to it.",2,5,2013-05-14T00:00:00,the pork was just wonderful tender and had that very porky feeling to it
801,Jumbo Seafood,I preferred the black pepper both both were good.,2,5,2019-06-16T00:00:00,i preferred the black pepper both both were good
802,FYR Cycene Ond Drinc,"The pineapple is sliced into paper thin ribbons, although would prefer them in smaller pieces, as it is quite hard to eat with the tea spoons given, as well as, difficult to cut them into smaller pieces.Overall the food is great.",2,4,2015-10-29T00:00:00,the pineapple is sliced into paper thin ribbons although would prefer them in smaller pieces as it is quite hard to eat with the tea spoons given as well as difficult to cut them into smaller pieces overall the food is great
803,Kok Sen Restaurant,"im in love.you're simply e best, better than all e rest better than any noods or prawn I've ever tasted I'm stuck on e plate, I savor every sauce there is tear us apart no, no, baby, I would rather be starved - *sings to e tune of 'simply e best' - tina turner* BIG PRAWN horfun... so good i licked up every drop on e plate.",2,4,2014-03-06T00:00:00,im in love you re simply e best better than all e rest better than any noods or prawn i ve ever tasted i m stuck on e plate i savor every sauce there is tear us apart no no baby i would rather be starved sings to e tune of simply e best tina turner big prawn horfun so good i licked up every drop on e plate
804,Ah Tai Hainanese Chicken Rice,Chicken is so tender and the rice is just right.,2,5,2018-08-05T00:00:00,chicken is so tender and the rice is just right
805,Symmetry,"Brunch is heavily pork-based, so if that it not part of your diet, your choices are limited.",2,3,2017-08-06T00:00:00,brunch is heavily pork based so if that it not part of your diet your choices are limited
806,Komala Vilas Restaurant,I came here basically for some good indian vegetarian food and it didn't disappoint.,2,5,2013-04-29T00:00:00,i came here basically for some good indian vegetarian food and it didn t disappoint
807,Pek Kio Market & Food Centre,"The nasi lemak at the back though is full of flavor with a heavy dose of coconut milk and crunchy accompaniments of fried chicken, fish cake or braised cabbage.",2,4,2014-11-11T00:00:00,the nasi lemak at the back though is full of flavor with a heavy dose of coconut milk and crunchy accompaniments of fried chicken fish cake or braised cabbage
808,Mellben Seafood,The cereal prawn is also good!!,2,5,2018-05-10T00:00:00,the cereal prawn is also good
809,Magurodonya Miuramisakikou Sushi,This place had such great sushi!!,2,5,2019-09-02T00:00:00,this place had such great sushi
810,Din Tai Fung,"I had the seaweed salad before, but the tofu dish was new to me: nice way to start the meal.Fried shrimp pancake: this was new to me as well, and was my favorite dish.",2,4,2015-03-07T00:00:00,i had the seaweed salad before but the tofu dish was new to me nice way to start the meal fried shrimp pancake this was new to me as well and was my favorite dish
811,Saveur,"It didn't seem that it has been undercooked and far less overcooked, but I failed to recognise the rewarding fork-tenderness short rib meat.",2,3,2013-02-07T00:00:00,it didn t seem that it has been undercooked and far less overcooked but i failed to recognise the rewarding fork tenderness short rib meat
812,Wee Nam Kee Chicken Rice,"Moist on the inside, crispy skin on top plus a large helping of lightly flavored rice.",2,4,2015-07-24T00:00:00,moist on the inside crispy skin on top plus a large helping of lightly flavored rice
813,Momma Kong's Crab Shack,Stingray had a fishy smell.,2,3,2015-05-23T00:00:00,stingray had a fishy smell
814,Eight Treasures Vegetarian,"I relish being able to try things vegetarians usually can't have, but beyond that, the execution is impeccable.",2,5,2018-02-12T00:00:00,i relish being able to try things vegetarians usually can t have but beyond that the execution is impeccable
815,Zam Zam Restaurant,the chilli chicken curry was thick but not too spicy.,2,4,2014-03-07T00:00:00,the chilli chicken curry was thick but not too spicy
816,Ya Kun Kaya Toast,"Especially, when you're dipping the Kaya Toast bread in the eggs... Yummmmmmyyyy.",2,4,2012-07-23T00:00:00,especially when you re dipping the kaya toast bread in the eggs yummmmmmyyyy
817,Jumbo Seafood,The dish came like warm.,2,3,2018-02-10T00:00:00,the dish came like warm
818,Komala Vilas Restaurant,Not overpowering with the yogurt flavor which I appreciated.You can tell a lot of locals cane here to eat which was a great sign.,2,4,2019-09-19T00:00:00,not overpowering with the yogurt flavor which i appreciated you can tell a lot of locals cane here to eat which was a great sign
819,Beirut Grill,"So my thoughts on the dishes:1) Mezze Platter: hummus needed a more robust taste, but good quality olive oil.",2,2,2016-01-02T00:00:00,so my thoughts on the dishes mezze platter hummus needed a more robust taste but good quality olive oil
820,Jumbo Seafood,"The greens, crab, seafood rice and yummy rolls were all amazing.",2,4,2017-05-27T00:00:00,the greens crab seafood rice and yummy rolls were all amazing
821,Majestic Bay,"Though the menu says it is pork ribs, our entire plate was pork belly coated in this weird tasting coffee rub.We started with a geoduck done two ways - sashimi and steamboat.",2,3,2013-01-12T00:00:00,though the menu says it is pork ribs our entire plate was pork belly coated in this weird tasting coffee rub we started with a geoduck done two ways sashimi and steamboat
822,Ya Kun Kaya Toast,"A very sweet, simple, buttery, and heavy brekky.",2,5,2018-01-06T00:00:00,a very sweet simple buttery and heavy brekky
823,Jumbo Seafood,"Eventually, the food was good.",2,3,2017-12-07T00:00:00,eventually the food was good
824,Ramen Nagi Singapore,"Fisherman King (S$16.90++)which was this month's limited king and limited to 400 bowls.Featuring sardine oil infused with Nagi's award-winning tonkotsu pork-broth, topped with succulent chashu slices, bonito powder and a fragrant ball of minced pork.Selected normal for soup base and special sauce.",2,3,2018-03-09T00:00:00,fisherman king s which was this month s limited king and limited to bowls featuring sardine oil infused with nagi s award winning tonkotsu pork broth topped with succulent chashu slices bonito powder and a fragrant ball of minced pork selected normal for soup base and special sauce
825,Kebabs n Curries,The mango lassi ($3) garnished with dried coconut sprinkles is one of the best in town.,2,3,2012-08-10T00:00:00,the mango lassi garnished with dried coconut sprinkles is one of the best in town
826,Fat Cow,Great beef!Had the FatCow Premium Donburi Kagoshima A4 Tenderloin.,2,5,2019-08-22T00:00:00,great beef had the fatcow premium donburi kagoshima tenderloin
827,Spago By Wolfgang Puck,"Pan Seared Pork Dumplings: This was good too, but you can easily get pork dumplings anywhere.",2,4,2017-12-11T00:00:00,pan seared pork dumplings this was good too but you can easily get pork dumplings anywhere
828,Zam Zam Restaurant,"Best of all, the curry that they give to go with the murtabak is thick and not watered down like many other popular places.",2,5,2013-02-03T00:00:00,best of all the curry that they give to go with the murtabak is thick and not watered down like many other popular places
829,Chir Chir,"Despite having an exhausting but productive day out with my bestie (I didn't sleep for 2 days at this point), I forced myself to get fried chicken because FRIED CHICKEN IS LOVE My bff is a big fan like me and brought me to Chir Chir for a very rewarding (unhealthy) and delicious experience we ordered the fried chicken plate that is served for 2!",2,5,2015-09-21T00:00:00,despite having an exhausting but productive day out with my bestie i didn t sleep for days at this point i forced myself to get fried chicken because fried chicken is love my bff is a big fan like me and brought me to chir chir for a very rewarding unhealthy and delicious experience we ordered the fried chicken plate that is served for
830,Luke's Oyster Bar & Chop House,"Crispy on the outside, and they filled it with Boursin cheese and spring onion.",2,4,2013-12-31T00:00:00,crispy on the outside and they filled it with boursin cheese and spring onion
831,Piedra Negra,The food is at best average.,2,2,2012-08-19T00:00:00,the food is at best average
832,No Signboard Seafood Restaurant,The spicy crab is delicious and tasty.,2,4,2017-05-29T00:00:00,the spicy crab is delicious and tasty
833,Muthu's Curry,No crispy brown bits and little bubbles of joy.,2,1,2019-02-16T00:00:00,no crispy brown bits and little bubbles of joy
834,Outram Park Fried Kway Teow Mee,Cannot even tastes the pork cracklings.,2,2,2017-06-23T00:00:00,can not even tastes the pork cracklings
835,Old Airport Road Food Centre,"Great flavor of cockles, Chinese chives, bean sprouts and flat noodles all cooked in light and dark soy sauce.",2,5,2014-05-11T00:00:00,great flavor of cockles chinese chives bean sprouts and flat noodles all cooked in light and dark soy sauce
836,Jumbo Seafood,"But oh well, the meal was still pretty great.",2,5,2016-01-26T00:00:00,but oh well the meal was still pretty great
837,LAVO Italian Restaurant & Rooftop Bar,"We tried the dragonfruit spritz, Moscow mules, and frose - all were delicious!",2,4,2019-07-09T00:00:00,we tried the dragonfruit spritz moscow mules and frose all were delicious
838,Zam Zam Restaurant,It was even better than the best pulled milk tea I've had in Hong Kong.,2,4,2019-04-10T00:00:00,it was even better than the best pulled milk tea i ve had in hong kong
839,Jumbo Seafood,It was a nice red sauce that had a slight heat mixed in with the sweet.,2,3,2019-09-29T00:00:00,it was a nice red sauce that had a slight heat mixed in with the sweet
840,Sin Huat Seafood Restaurant,The crab is fresh and sweet and the veggies are probably the best I've ever had.,2,5,2017-12-30T00:00:00,the crab is fresh and sweet and the veggies are probably the best i ve ever had
841,The Naked Finn,"We had:- Scallop ceviche style - this was awesome, my favorite of the night.",2,5,2014-07-05T00:00:00,we had scallop ceviche style this was awesome my favorite of the night
842,Jumbo Seafood,Jumbo didn't fail to deliver a yummy chilli crab famous in Singapore for a reason - deliciousness,2,4,2014-03-12T00:00:00,jumbo didn t fail to deliver a yummy chilli crab famous in singapore for a reason deliciousness
843,China Whampoa Home Made Noodle,Their home made chili sauce on the side is the bomb.,2,4,2013-10-10T00:00:00,their home made chili sauce on the side is the bomb
844,Allauddin's Briyani,It also comes with a small bowl of curry that was flavorful but not spectacular.,2,4,2014-06-05T00:00:00,it also comes with a small bowl of curry that was flavorful but not spectacular
845,Bistro Du Vin,Which was crisp and meltingly tender.,2,4,2014-01-09T00:00:00,which was crisp and meltingly tender
846,Dehesa,"If the bone were sliced into halves, the fatty collagen would be flavored more easily.",2,5,2017-09-01T00:00:00,if the bone were sliced into halves the fatty collagen would be flavored more easily
847,Fluff Bakery,It is simply heavenly!2.,2,4,2015-01-25T00:00:00,it is simply heavenly
848,Burnt Ends,This steak was grilled perfectly medium rare with some bits of fat left on top for good measure.,2,4,2013-12-05T00:00:00,this steak was grilled perfectly medium rare with some bits of fat left on top for good measure
849,The Kitchen Table,Foie pate campagne ridiculously portioned and awesome.Chicken satay surprising delicious almost as hawker centers but doubled the price.Pizza has a legit airy crust.Wonton was bland but thanks for pork belly.Sushi was mediocre passable.Filet was over cooked and corrected.,2,5,2019-11-28T00:00:00,foie pate campagne ridiculously portioned and awesome chicken satay surprising delicious almost as hawker centers but doubled the price pizza has a legit airy crust wonton was bland but thanks for pork belly sushi was mediocre passable filet was over cooked and corrected
850,Braseiro,Did I mention how delicious the Caipirinhas are??,2,5,2016-09-29T00:00:00,did i mention how delicious the caipirinhas are
851,Ya Hua Bak Kut Teh,You don't have to be a fan of the peppery type of bak kut teh to enjoy this delicious bowl of soup.,2,4,2012-08-05T00:00:00,you don t have to be a fan of the peppery type of bak kut teh to enjoy this delicious bowl of soup
852,Chatterbox,The chicken was good.,2,3,2016-10-23T00:00:00,the chicken was good
853,Etna Italian Restaurant,"I loved the sweet tender pumpkin with the crunchy nuts - and even though I usually eschew rich sauces, this was very tasty.and then the rather transcendental calamari alla griglia, or grilled squid coils with a lovely chop of garlic and herbs.",2,5,2014-03-03T00:00:00,i loved the sweet tender pumpkin with the crunchy nuts and even though i usually eschew rich sauces this was very tasty and then the rather transcendental calamari alla griglia or grilled squid coils with a lovely chop of garlic and herbs
854,CafÃÂ© Iguana,"soggy chips, bland flavor.",2,2,2012-10-07T00:00:00,soggy chips bland flavor
855,Salt Grill & Sky Bar,with a mismatched buttermilk sauce.,2,1,2016-07-12T00:00:00,with a mismatched buttermilk sauce
856,10 at Claymore,"Freshly made, piping hot and generous fillings - nutella and durian, both good - I would have had 2 of each if I hadn't been so full.",2,4,2014-10-02T00:00:00,freshly made piping hot and generous fillings nutella and durian both good i would have had of each if i hadn t been so full
857,Hai Di Lao,"It tastes very distinctly of fresh prawn here, compared to other places where it may taste more like fish or fish cake.",2,5,2016-06-25T00:00:00,it tastes very distinctly of fresh prawn here compared to other places where it may taste more like fish or fish cake
858,CUT,The bone marrow was tender.,2,4,2016-03-25T00:00:00,the bone marrow was tender
859,The Sushi Bar,"Everything was generally very fresh, however the prawn was a bit slimy and strong tasting to be absolutely honest.",2,4,2015-12-10T00:00:00,everything was generally very fresh however the prawn was a bit slimy and strong tasting to be absolutely honest
860,Saveur,"It was tasty and tender, with the complementary oranges and sauce on a bed of potato mash.",2,5,2012-07-19T00:00:00,it was tasty and tender with the complementary oranges and sauce on a bed of potato mash
861,Yakiniku Yazawa,"In addition to the melt-in-your-mouth meats, the side dishes are also quite tasty.",2,5,2012-10-10T00:00:00,in addition to the melt in your mouth meats the side dishes are also quite tasty
862,Momma Kong's Crab Shack,According to them the chilli crab which was supposed to be their best seller was so so.,2,3,2015-05-23T00:00:00,according to them the chilli crab which was supposed to be their best seller was so so
863,Maki-San,The seaweed added flavor to the sushi itself.,2,5,2015-02-01T00:00:00,the seaweed added flavor to the sushi itself
864,Salt Grill & Sky Bar,Their red wine sauce was really good though!,2,3,2017-02-05T00:00:00,their red wine sauce was really good though
865,Spago By Wolfgang Puck,"The pork was cooked to perfection, it was so tender and juicy.",2,4,2017-12-11T00:00:00,the pork was cooked to perfection it was so tender and juicy
866,Teochew Handmade Pau,The meat inside is juicy and the sauce coats the interior of the bao perfectly so you do not get the feeling of dryness at all.,2,5,2014-07-10T00:00:00,the meat inside is juicy and the sauce coats the interior of the bao perfectly so you do not get the feeling of dryness at all
867,Gyoza-Ya,The thick slab of char siew was equally good!!,2,4,2015-01-23T00:00:00,the thick slab of char siew was equally good
868,Ramen Keisuke Tori King,"It did not taste as salty as the Tan Tan Mien, and was just nice for me.",2,2,2016-06-15T00:00:00,it did not taste as salty as the tan tan mien and was just nice for me
869,Saveur,It melts in your mouth.,2,5,2013-11-26T00:00:00,it melts in your mouth
870,Jumbo Seafood,The sauce for the chili crab was great for dipping the fried bun.,2,4,2017-12-21T00:00:00,the sauce for the chili crab was great for dipping the fried bun
871,Spago By Wolfgang Puck,It's served with a side of rice which was tasty.,2,4,2018-07-08T00:00:00,it s served with a side of rice which was tasty
872,My Little Tapas Bar,Chickpeas were tender and creamy (how do you do that!),2,5,2015-01-06T00:00:00,chickpeas were tender and creamy how do you do that
873,Kailash Parbat,The paneers were delicious,2,5,2015-12-29T00:00:00,the paneers were delicious
874,Vatos Urban Tacos,The tortilla doesn't really taste good and kinda soggy.,2,3,2017-07-23T00:00:00,the tortilla doesn t really taste good and kinda soggy
875,Melt CafÃÂ©,Desserts the Genoa and linzer torte were brilliant.,2,5,2018-01-15T00:00:00,desserts the genoa and linzer torte were brilliant
876,Liao Fan Hawker Chan,It was also super tender.,2,4,2019-01-08T00:00:00,it was also super tender
877,Song Fa Bak Kut Teh,"The meat was fall-of-the-bones tender, and the soup was a delightful mix of spices and it was so delicious it was nothing I could put words to.",2,5,2018-01-02T00:00:00,the meat was fall of the bones tender and the soup was a delightful mix of spices and it was so delicious it was nothing i could put words to
878,Jaan,Arguably the best food I have ever eaten.,2,5,2016-10-11T00:00:00,arguably the best food i have ever eaten
879,Killiney Kopitiam,"In fact, I went here twice for breakfast while in Singapore The Kaya spread that had a unique combination of mildly sweet yet savory taste to it.",2,5,2017-12-22T00:00:00,in fact i went here twice for breakfast while in singapore the kaya spread that had a unique combination of mildly sweet yet savory taste to it
880,DB Bistro Moderne,"It was juicy, well seasoned, and incredibly rich.",2,3,2014-01-22T00:00:00,it was juicy well seasoned and incredibly rich
881,Shanghai Ren Jia,How can a super green simple dish be so good.,2,5,2015-11-08T00:00:00,how can a super green simple dish be so good
882,Fat Cow,Break apart the yolk and you have a creamy balance of sweet and saltiness.,2,5,2014-06-12T00:00:00,break apart the yolk and you have a creamy balance of sweet and saltiness
883,SKIRT,"Memorable flavour, robust duck fragrance that was fork-tender under the braising technique, jus coating that wowed me in hint of sweetness and a gentle bacon saltiness.",2,5,2013-06-10T00:00:00,memorable flavour robust duck fragrance that was fork tender under the braising technique jus coating that wowed me in hint of sweetness and a gentle bacon saltiness
884,The Malayan Council,"The food and cakes are amazing, and we will definitely return!",2,5,2018-01-13T00:00:00,the food and cakes are amazing and we will definitely return
885,Long Beach Seafood,"The food is great and vegetables are cooked in nice way, sea food is awesome.",2,4,2015-11-07T00:00:00,the food is great and vegetables are cooked in nice way sea food is awesome
886,The Beast,Pulled pork hash and Dutch baby pancakes were equally yummy.,2,4,2015-06-04T00:00:00,pulled pork hash and dutch baby pancakes were equally yummy
887,Gyoza-Ya,"The thinness of the gyoza skin, the perfect sear, the delicious minced pork that went so well with the vinegar sauce - just blew my mind.",2,4,2016-03-06T00:00:00,the thinness of the gyoza skin the perfect sear the delicious minced pork that went so well with the vinegar sauce just blew my mind
888,MarchÃÂ©,The beef was chewy and juicy just like I wanted it to be.,2,4,2017-01-06T00:00:00,the beef was chewy and juicy just like i wanted it to be
889,Long Phung Vietnamese Restaurant,"Their beef pho is excellent, soup is tasty and beef is tender.",2,4,2014-12-13T00:00:00,their beef pho is excellent soup is tasty and beef is tender
890,Ippudo,The broth is incredibly rich and borderline too fatty & oily.,2,4,2014-05-11T00:00:00,the broth is incredibly rich and borderline too fatty oily
891,My Little Spanish Place,Wonderful.The charcuterie sausages were lovely and a healthy portion.,2,4,2014-07-05T00:00:00,wonderful the charcuterie sausages were lovely and a healthy portion
